tag,tag_id
abilities,1
activism,2
adulthood,3
adventure,4
age,5
alcohol,6
aliteracy,7
apathy,8
attributed,9
attributed-no-source,10
authors,11
be-yourself,12
beatles,13
better-life-empathy,14
bilbo,15
books,16
change,17
children,18
chocolate,19
choices,20
christianity,21
classic,22
comedy,23
connection,24
contentment,25
courage,26
death,27
deep-thoughts,28
difficult,29
dreamers,30
dreaming,31
dreams,32
drug,33
dumbledore,34
edison,35
education,36
elizabeth-bennet,37
failure,38
fairy-tales,39
fairytales,40
faith,41
fantasy,42
fate,43
fear,44
food,45
friends,46
friendship,47
girls,48
god,49
good,50
growing-up,51
grown-ups,52
happiness,53
hate,54
heartbreak,55
hope,56
humor,57
imagination,58
indifference,59
insanity,60
inspiration,61
inspirational,62
integrity,63
jane-austen,64
journey,65
knowledge,66
lack-of-friendship,67
lack-of-love,68
learning,69
library,70
lies,71
life,72
literature,73
live,74
live-death-love,75
lost,76
love,77
lying,78
marriage,79
mind,80
miracle,81
miracles,82
misattributed-eleanor-roosevelt,83
misattributed-john-lennon,84
misattributed-mark-twain,85
misattributed-to-c-s-lewis,86
misattributed-to-einstein,87
misattributed-to-mother-teresa,88
mistakes,89
music,90
navigation,91
novelist-quotes,92
obvious,93
open-mind,94
opposite,95
paraphrased,96
peace,97
philosophy,98
planning,99
plans,100
poetry,101
quest,102
read,103
readers,104
reading,105
reading-books,106
regrets,107
religion,108
romance,109
romantic,110
self-indulgence,111
seuss,112
simile,113
simplicity,114
sinister,115
sisters,116
success,117
sun,118
tea,119
the-hunger-games,120
thinking,121
thought,122
travel,123
troubles,124
truth,125
understand,126
understanding,127
unhappy-marriage,128
value,129
wander,130
wisdom,131
women,132
world,133
write,134
writers,135
writing,136
yourself,137
